	Name
0	Maize_Spring_USA_Ohio
1	Wheat_Spring_USA_SouthDakota
2	Maize_Spring_USA_Minnesota
3	Maize_Summer_China_Henan
4	Soybean_USA_Illinois
5	Soybean_USA_Minnesota
6	Wheat_Winter_France_All
7	Wheat_Spring_USA_Idaho
8	Rice_Mid_China_Heilongjiang
9	Soybean_USA_Iowa
10	Rice_Late_China_Jiangxi
11	Maize_Spring_China_Liaoning
12	Wheat_Winter_USA_Idaho
13	Wheat_Winter_Germany_All
14	Wheat_Netherlands_All
15	Wheat_Winter_China_Hebei
16	Wheat_Winter_USA_Nebraska
17	Wheat_Spring_Canada_Alberta
18	Soybean_USA_Missouri
19	Wheat_Winter_USA_Ohio
20	Wheat_Winter_USA_Washington
21	Maize_Summer_China_Shandong
22	Soybean_China_Heilongjiang
23	Wheat_Winter_USA_Kansas
24	Rice_Mid_China_Anhui
25	Soybean_Brazil_Goias
26	Maize_Spring_USA_Illinois
27	Soybean_USA_Indiana
28	Soybean_Argentina_SantaFe
29	Wheat_Spring_Argentina_SantaFe
30	Maize_Spring_USA_Indiana
31	Maize_Summer_China_Shanxi
32	Rice_Late_China_Guangxi
33	Wheat_Spring_Australia_Victoria
34	Wheat_Winter_USA_Colorado
35	Wheat_Winter_China_Shandong
36	Wheat_Winter_USA_Montana
37	Soybean_China_Jilin
38	Rice_Mid_China_Jilin
39	Wheat_Russia_All
40	Wheat_Winter_China_Henan
41	Rice_Early_China_Guangdong
42	Wheat_Spring_Canada_Manitoba
43	Wheat_Spring_USA_NorthDakota
44	Wheat_Belgium_All
45	Soybean_Brazil_MatoGrossodoSul
46	Wheat_Spring_Australia_WesternAustralia
47	Wheat_Spring_Australia_NewSouthWales
48	Wheat_Poland_All
49	Rice_Late_China_Zhejiang
50	Soybean_Argentina_Cordoba
51	Wheat_Spring_Argentina_Cordoba
52	Maize_Spring_USA_Nebraska
53	Wheat_Spring_Australia_SouthAustralia
54	Soybean_USA_NorthDakota
55	Wheat_Denmark_All
56	Wheat_Spring_Canada_Saskatchewan
57	Wheat_Winter_USA_Texas
58	Wheat_Winter_UK_All
59	Wheat_Winter_USA_SouthDakota
60	Maize_Spring_USA_Iowa
61	Wheat_Spring_USA_Montana
62	Rice_Mid_China_Liaoning
63	Wheat_Spring_USA_Minnesota
64	Wheat_Winter_China_Jiangsu
65	Rice_Early_China_Jiangxi
66	Rice_Late_China_Fujian
67	Soybean_Argentina_BuenosAires
68	Rice_Mid_China_Chongqing
69	Soybean_China_Liaoning
70	Maize_Summer_China_Hebei
71	Rice_Early_China_Guangxi
72	Soybean_Brazil_MatoGrosso
73	Rice_Early_China_Fujian
74	Rice_Late_China_Hunan
75	Rice_Mid_China_Jiangsu
76	Rice_Early_China_Zhejiang
77	Wheat_Spring_Argentina_BuenosAires
78	Maize_Spring_China_Heilongjiang
79	Wheat_Winter_China_Anhui
80	Maize_Spring_China_Jilin
81	Rice_Early_China_Hunan
82	Rice_Mid_China_Hunan
83	Rice_Mid_China_Sichuan
84	Soybean_Brazil_RioGrandedoSul
85	Maize_Summer_China_Shaanxi
86	Wheat_Ireland_All
87	Soybean_USA_SouthDakota
88	Rice_Mid_China_Hubei
89	Wheat_Spring_USA_Washington
90	Rice_Late_China_Guangdong
91	Wheat_Winter_USA_Oklahoma
92	Soybean_USA_Ohio
93	Soybean_Brazil_Parana
